"","President","Supreme Ct","Ct of Appeals","USAFC","USCFC","District Ct","Terr Ct","Int'l Trade","Total","term_start","term_end","term_length","SupCt_per","CtApp_per","USAFC_per","USCFC_per","DistCt_per","TerrCt_per","ITrade_per","Tot_per"
"4","Roosevelt",9,52,NA,NA,136,3,7,207,1933,1945,13,0.69,4,NA,NA,10.46,0.23,0.54,15.92
"6","Truman",4,27,NA,NA,102,3,4,140,1945,1952,8,0.5,3.38,NA,NA,12.75,0.38,0.5,17.5
"8","Eisenhower",5,45,NA,NA,127,2,3,182,1953,1960,8,0.62,5.62,NA,NA,15.88,0.25,0.38,22.75
"10","Kennedy",2,20,NA,NA,102,1,0,125,1961,1963,3,0.67,6.67,NA,NA,34,0.33,0,41.67
"12","Johnson",2,41,NA,NA,125,0,8,176,1963,1968,6,0.33,6.83,NA,NA,20.83,0,1.33,29.33
"14","Nixon",4,45,NA,NA,182,3,1,235,1969,1974,6,0.67,7.5,NA,NA,30.33,0.5,0.17,39.17
"16","Ford",1,12,NA,NA,50,0,0,63,1974,1976,3,0.33,4,NA,NA,16.67,0,0,21
"18","Carter",0,56,NA,NA,203,3,0,262,1977,1980,4,0,14,NA,NA,50.75,0.75,0,65.5
"20","Reagan",3,78,5,18,290,2,6,402,1981,1988,8,0.38,9.75,0.62,2.25,36.25,0.25,0.75,50.25
"22","Bush",2,37,5,2,148,2,1,197,1989,1992,4,0.5,9.25,1.25,0.5,37,0.5,0.25,49.25
"24","Clinton",2,62,4,7,305,2,5,387,1993,2000,8,0.25,7.75,0.5,0.88,38.12,0.25,0.62,48.38
"26","Bush",2,61,2,9,261,3,2,340,2001,2008,8,0.25,7.62,0.25,1.12,32.62,0.38,0.25,42.5
"28","Obama",2,49,6,3,268,2,4,334,2009,2016,8,0.25,6.12,0.75,0.38,33.5,0.25,0.5,41.75
"30","Trump*",1,12,0,0,6,0,0,19,2017,2017,1,1,12,0,0,6,0,0,19
