"","X","X.1","Regional","X.2","X.3","X.4","X.5","Court.of","X.6"
"1","","Supreme","Court of","","","District","Territorial","International",""
"2","President","Court","Appeals","USCAFC(1)","USCFC(1)","Courts","Courts(2)","Trade(3)","TOTAL(4)"
"3","Roosevelt","","","","","","","",""
"4","(1933-45)","9","52","-","-","136","3","7","207"
"5","Truman","","","","","","","",""
"6","(1945-52)","4","27","-","-","102","3","4","140"
"7","Eisenhower","","","","","","","",""
"8","(1953-60)","5","45","-","-","127","2","3","182"
"9","Kennedy","","","","","","","",""
"10","(1961-63)","2","20","-","-","102","1","0","125"
"11","Johnson","","","","","","","",""
"12","(1963-68)","2","41","-","-","125","0","8","176"
"13","Nixon","","","","","","","",""
"14","(1969-74)","4","45","-","-","182","3","1","235"
"15","Ford","","","","","","","",""
"16","(1974-76)","1","12","-","-","50","0","0","63"
"17","Carter","","","","","","","",""
"18","(1977-80)","0","56","-","-","203","3","0","262"
"19","Reagan","","","","","","","",""
"20","(1981-88)","3","78","5","18","290","2","6","402"
"21","Bush","","","","","","","",""
"22","(1989-92)","2","37","5","2","148","2","1","197"
"23","Clinton","","","","","","","",""
"24","(1993-00)","2","62","4","7","305","2","5","387"
"25","Bush","","","","","","","",""
"26","(2001-08)","2","61","2","9","261","3","2","340"
"27","Obama","","","","","","","",""
"28","(2009-16)","2","49","6","3","268","2","4","334"
"29","Trump*","","","","","","","",""
"30","(2017- )","1","12","0","0","6","0","0","19"
